Event,EventID,CategoryId
Portland Pirates,6088,1520,AHL
Providence Bruins,6089,1520,AHL
Rochester Americans,6083,1520,AHL
San Antonio Rampage,4747,1520,AHL
Springfield Falcons,6090,1520,AHL
Syracuse Crunch,6085,1520,AHL
Wilkes-Barre Scranton Penguins,1774,1520,AHL
Worcester Sharks,6081,1520,AHL
Amarillo Gorillas,6105,1520,CHL
Austin Ice Bats,6101,1520,CHL
Bossier Shreveport Mudbugs,6093,1520,CHL
Colorado Eagles,6097,1520,CHL
Corpus Christi Rayz,6102,1520,CHL
Laredo Bucks,6103,1520,CHL
New Mexico Scorpions,6098,1520,CHL
Odessa Jackalopes,6107,1520,CHL
Oklahoma City Blazers,5174,1520,CHL
Rio Grande Valley Killer Bees,6104,1520,CHL
Tulsa Oilers,6096,1520,CHL
Wichita Thunder,6100,1520,CHL
Flint Generals,6149,1520,IHL
Fort Wayne Komets,6155,1520,IHL
Kalamazoo Wings,6150,1520,IHL
Muskegon Fury,6152,1520,IHL
Port Huron Beacons,6153,1520,IHL
Alaska Aces,6131,1520,ECHL
Augusta Lynx,6109,1520,ECHL
Charlotte Checkers,6110,1520,ECHL
Columbia Inferno,6111,1520,ECHL
Dayton Bombers,6122,1520,ECHL
Elmira Jackals,6162,1520,ECHL
Florida EverBlades,6115,1520,ECHL
Fresno Falcons,6134,1520,ECHL
Gwinnett Gladiators,4853,1520,ECHL
Johnstown Chiefs,6123,1520,ECHL
Las Vegas Wranglers,6136,1520,ECHL
Mississippi Sea Wolves,6118,1520,ECHL
Pensacola Ice Pilots,6117,1520,ECHL
Reading Royals,6126,1520,ECHL
South Carolina Stingray,6114,1520,ECHL
Texas Wildcatters,6119,1520,ECHL
Utah Grizzlies,1221,1520,ECHL
Victoria Salmon Kings,6137,1520,ECHL
Wheeling Nailers,6129,1520,ECHL
Adirondack Frostbite,6160,1526,
Danbury Trashers,6161,1526,
Kansas City Outlaws,6156,1526,
Missouri River Otters,6157,1526,
Motor City Mechanics,6151,1526,
Quad City Mallards,6158,1526,
Rockford IceHogs,6159,1526,
Toledo Storm,6127,1520,ECHL
Seattle Thunderbirds,11769,1520,WHL
San Diego Gulls,756,1526,
Columbus Cottonmouths,6144,1520,SPHL
Huntsville Havoc,6146,1520,SPHL
Knoxville Ice Bears,6140,1520,SPHL
Huntsville Channel Cats,6139,1526,
Macon Trax,6148,1526,
Winston Salem Polar Twins,6142,1526,
Green Bay Gamblers,8833,1520,USHL
Indiana Ice,7989,1520,USHL
Kitchener Rangers,6514,1520,OHL
Memphis River Kings,6095,1520,CHL
Cape Fear Fire Antz,6141,1520,SPHL
Trenton Titans,6128,1520,ECHL
Asheville Aces,6143,1526,
Atlantic City Boardwalk Bullies,6120,1526,
Cincinnati RailRaiders,6092,1526,ahl
Edmonton Roadrunners,6082,1526,ahl
Greenville Grrrowl,6112,1526,echl
Long Beach Ice Dogs,475,1526,echl
Louisiana IceGators,6116,1526,echl
Pee Dee Pride,6113,1526,
St. John's Maple Leafs,6084,1526,ahl
Topeka Tarantulas,6099,1526,chl,
Worcester Ice Cats,6091,1526,AHL,
Lubbock Cotton Kings,6106,1520,CHL,
Agusta Lynx,11388,1520,ECHL,rename to Augusta
Alumni Showdown in Hockeytown,8029,1528,,
Anaheim Ducks Kids Day,2582,1528,,
Chicago Blackhawks Season Ticket Holder Party,2611,1528,,
MSHSL State Boys Hockey,8834,1528,,
Ohio High School Hockey Championships,11596,1528,,
World Cup of Hockey,5017,1528,,
WHCA Playoffs,2594,1520,,
American Airlines Salute to a Generation of Stars,11720,1526,,
SuperSkills Competition & Young Stars Game,11721,1526,,
European Hockey Team,1291,1528,,
Fort Wayne Brahmas,6094,1520,,
San Angelo Saints,6108,1520,,
Alaska-Anchorage Seawolves Hockey,7423,1528,
Alaska-Fairbanks Nanooks Hockey,7422,1528,
All-American Bowl,11101,66,
California Poly Mustangs Football,11364,1538,
Fort Wayne Fusion,12793,74,minor league football
Gardner Webb Bulldogs Football,12944,51,
Mahoning Valley Thunder,12796,75,af2
New England Patriots Draft Party,12922,66,
Pro Bowl Tailgate Party,11871,66,
South Carolina State Bulldogs Football,13402,56,I-AA
Tennessee Tech Golden Eagles Football,12852,58,
North Dakota State University Bison Football,1286,39,
Bethune-Cookman Fighting Wildcats Football,1349,56,
Delaware State Hornets Football,13409,56,
Hampton Pirates Football,2097,56,
Florida Atlantic Owls Baseball,3161,1531,
Harvard Crimson Baseball,3187,1531,
LSU Tigers Baseball,3226,1531,
Ole Miss Rebels Baseball,3368,1531,
Princeton Tigers Baseball,3299,1531,
San Diego State Aztecs Baseball,3306,1531,
SMSU Bears Football,1313,52,
Southern Illinois Salukis Baseball,3315,1531,
Southern Illinois Salukis Womens Baske,3317,1532,Should rename at some point
Tennessee Vols Baseball,3338,1531,
Texas A&M Aggies Baseball,3341,1531,
UAB Blazers Baseball,3078,1531,
UAB Blazers Hockey,3079,92,
UMass Minutemen Baseball,3353,1531,
Villanova Wildcats Baseball,3383,1531,
West Virginia Mountaineers Baseball,3392,1531,
CFL- Western Finals,7869,81,
Chicago Slaughter,12874,66
Rock River Raptors,8714,66
Angelo State University Football,13566,1539
Arkansas-Monticello Football,13567,1539
Central Arkansas Bears Football,13568,62
Elon University Phoenix Football,13422,61
Norfolk State Spartans Football,13431,56
Northwestern State Demons Football,13569,62
Sam Houston State Bearkats Football,13565,62
WSSU Rams Football,13430,56
NCAA Mens Basketball Tournament,2652,181
NCAA Mens East Regionals,579,181
NCAA Mens Final Four Hotel Rooms,7856,181
NCAA Mens Final Four Packages,4016,181
NCAA Mens South Regionals,583,181
NCAA Mens West Regionals,584,181
Chicago Invitational Challenge,11251,181
Dreyfus Classic,5010,1525
Aeropostale Classic,11351,181
Augusta State Mens Basketball,11563,1525
Austin Toros,7969,156
Bellarmine Mens Basketball,11369,1525
Busch Braggin' Rights,11685,1525
CBE Classic Tournament,11254,181
Chicago Bulls Open Practice/Scrimmage,11276,156
Derby Festival Basketball Festival,12737,156
EBC All-Star Saturday,12862,156
Illinois Orange & Blue Scrimmage,11248,1525
John R. Wooden Classic,4161,181
John R. Wooden Tradition,11275,181
Kennesaw State Owls Mens Basketball,11572,1525
Lebron James/Allen Iverson Allstar Weekend,12362,156
Longwood University Mens Basketball,11561,1525,
McDonald's All American HS Basketball Games,8261,156,
McDonalds All American Game,2404,156,
Nike Hoop Summit,12438,181,
Pepsi Blue & Gold Classic,11672,156,
Richmond RiverDogs,6163,1528,hockey defunct
Rockhurst Hawks Mens Basketball,11368,1525,
St. Vincent-St. Mary's High School Basketball,3861,156,
Tusculum Mens Basketball,11389,1525,
UNF Ospreys Men's Basketball,11695,1525,
WSSU Ram Mens Basketball,11367,1525,
World Series,1143,1999,
Northern-Colorado-Bears-Football-Tickets-E,13642,50,
ESPNU-Womens-College-Basketball-Invitational-Tickets,13693,1533,
Albany Great Danes Womens Basketball,7844,1532,
Binghamton Bearcats Womens Basketball,7845,1532,
Boston University Terriers Womens Basketball,7846,1532
Hartford Hawks Womens Basketball,6231,1532
MAAC Women's Basketball Tournament,8126,1532
Maine Black Bears Womens Basketball,7847,1532
Maryland Balt. County Retreivers Womens Basketball,7848,1532
New Hampshire Wildcats Womens Basketball,7849,1532
Northeastern Huskies Womens Basketball,7850,1532
Stony Brook Seawolves Womens Basketball,7851,1532
Vermont Catamounts Womens Basketball,7852,1532
Chicago Sky,9058,159
Cornell Big Red Football,14217,54
Fort Lewis Skyhawks Football,13796,1539
Lehigh Mountain Hawks Football,14218,59
Prairie View A & M Panthers Football,13805,63
Texas Southern Tigers Football,14148,63
Weber State Wildcats Football,13795,50
2K Sports All-American Shootout,14486,156
Barton Bulldogs Mens Basketball,14342,156
Lenoir-Rhyne Mens Basketball,14343,156
Lute Olson All-Star Classic,13741,156
North Alabama Lions Mens Basketball,14189,156
Panathinaikos,14107,156
The Philly Classic,14523,156
UNCP Braves Mens Basketball,14190,156
Zalgiris Kaunas,14097,156
Abilene Christian Wildcats Football,14286,66
Chicago Football Classic,14121,66
Football Jamboree,14010,66
Vanier Cup,14514,66
Lowell Spinners,13988,1530
Oneonta Tigers,13966,1530
Butler University Bulldogs Football,14419,1539
Delaware Blue Hens Football,14197,1539
Magic City Classic,14414,1539
Calgary Hitmen,14237,1528
CanadaRussia Super Series,13998,1528
CHL Allstar Game,14483,1528
Ice Breaker Invitational,13948,1528
Lake Erie Monsters,14415,1528
Medicine Hat Tigers,14238,1528
Saskatoon Blades,14239,1528
Formula One,7196,1515
Louisville Riverbats,1946,1521
Oklahoma City Thunder,16164,89
