Event Name,Event ID,EventIntroText,EventText,EventImagePathname
Kansas City Royals,428,"Fans hope the 2008 season will be one of the best in recent Royals’ history, thanks in large part to General Manager Dayton Moore’s efforts to acquire a stellar pitching staff, which he rounded out with Gil Meche and Octavio Dotel.   With the team ranking last in the AL Central division four of the last five years, the team needs to step up and show their fans they are still a team worth rooting for.  Moore is counting on Angel Berroa, Mike Sweeney, and Zack Greinke to bring the team back to the top of the division and fans are sure to show up at Kansas City Royal games to watch the players battle their way to the top of the rankings. ","<p>The Kansas City Royals are viewed as one of the most successful expansion teams in baseball history, with winning records for fourteen of their nineteen seasons between 1971 and 1989, as well as six division titles, two pennant wins, and a World Series Title from 1976 to 1985.  Many attribute the team’s success during this time to Hall of Famer George Brett.  Their bitter rivalry with the New York Yankees during those years also helped motivate the players and inspire their fans to show up at root the team on.
</p><br/>
<p>In 1980, thanks to the high-powered batting of George Brett, the Kansas City Royals won their first pennant, but were defeated in the World Series by the Phillies, a defeat most Royals fans are still trying to recover from.  Then, in 1985, the Royals finally won a World Series title by defeating the St. Louis Cardinals.  However, after George Brett retired in 1993, the Royals’ record took a nose dive the team is still struggling to recover from.   But, despite their poor rankings the last few years, Kansas City Royals games, both at their home field of Kauffman Stadium and at other baseball venues around the country, are a huge hit with fans, who show up to cheer their favorite players on and dream of another pennant win.</p>",
Minnesota Twins,554,"As the 2008 season approaches, the Twins are hoping to defend their fourth AL Central title, relying on the skills of players such as Joe Mauer, Justin Morneau, and Luis Castillo.   Minnesota Twins games are a huge draw at their home field and across the country as their fans dream of another win, and maybe, in the not so distant future, a World Series title. ","<p>The Minnesota Twins, originally the Washington Senators, have perhaps one of the rockiest records in major league baseball history.   As the Senators, the team came in last more than ten times in their early history, and in the bottom 7 and additional twenty-three times.  Despite their dismal record, the Senators did manage to win three pennants, in 1924, 1925, and 1933, as well as winning the World Series in 1925. </p><br/>
<p>Once they became the Minnesota Twins, in 1961, the team’s luck seemed to change, with the new Twins winning pennants, division titles, and coming in as a top five team numerous times over the next few years.  As the team rebuilt itself through the 1960s, they acquired legendary players that brought the team to the top of the MLB.   Minnesota Twins games drew fans around the country as they watched their favorite players bring home wins and reminded baseball fans why they truly love the game.  
</p><br/>
<p>At their home field, the Hubert H. Humphrey Metrodome, the Minnesota Twins consistently deliver action-packed games, as well as delivering exciting World Series performances in 1987 and 1991, when the team won every one of its home games in the Series playing against the Detroit Tigers and the Atlanta Braves.  But, the rest of the 1990s proved to be a dismal decade for the team as they fell farther back in the rankings, causing Minnesota Twins fans to wonder if they would ever see their team in the playoffs again.  Finally, in 2003, Twins fans were rewarded with their team earning a spot in the playoffs, where they won a second straight AL Central title before losing to the Yankees in the playoffs. </p>",Images/minnesota_twins_tickets.jpg
Cleveland Indians,183,"After a disappointing 2007 season, the Cleveland Indians are hoping to bounce back in 2008, relying on the skills of top players like Grady Sizemore, Josh Barfield, David Dellucci, and Trot Nixon.   With their strengthened bullpen and competent coaching staff, the Cleveland Indians may just be able to surprise their fans and put out a stellar performance this season, making this summer’s Cleveland Indian’s season one of the best in recent years! ","<p>The Cleveland Indians baseball team is one of major league baseball’s most legendary franchises.  As one of only four franchises that have remained in the same city for over one hundred years, the Indians are a fixture in Cleveland, and in baseball history.  The 1954 Indians team is considered by experts and fans alike to be one of the best in baseball history, winning a league record 111 games thanks to Hall of Fame pitchers Bob Feller, Bob Lemon, and Early Wynn.   In 1948, the team managed to win the series pennant under manager Lou Boudreau, who made the Indians one of the strongest teams in the majors for the next few years.  Although the Cleveland Indians managed to win every American League Central title from 1995 to 1999, but the World Series title still eluded the team, much to the coaching staff, and fans’, disappointment.  </p><br/>
<p>But a lack of World Series wins hasn’t caused the team’s popularity to falter.  Thanks to the Cleveland Indian’s new stadium at Jacob’s Field, built in 1994 and touted as one of baseball’s most fan-friendly parks, Cleveland Indian games are selling out across the country.   Fans turn up in droves at Cleveland Indian home games, as well as face-offs with other teams at baseball venues across the country, to root for their team and their favorite players, making the Cleveland Indians one of major league baseball’s most lucrative franchises.   As younger generations of fans are introduced to the Indians’ lineup, they are realizing that, despite the team’s lack of titles, the team is one worth watching, inspiring baseball fans to open their wallets and pay top dollar for tickets to Cleveland Indians games at Jacob’s Field and at other major league baseball fields, where they can witness their team’s strong players try to make history once again. </p>",Images/cleveland_indians_tickets.jpg
New York Yankees,607,"In the Yankees’ 2007 season, the team hopes to end a World Series drought and bring the title back to New York, and it is up to manager Joe Torre to deliver a winning line up.  Torre is relying on superstar Alex Rodriguez to bring in the wins, as well as Kei Igawa out of Japan, Andy Pettite, and Chien-Ming Wang.  As the Yankees strive to win their tenth straight American League East title, fan are coming out in droves to root their team to victory and watch them try to make more major league history.   ","<p>The New York Yankees are known as one of the most successful teams in major league baseball.  Since their beginnings in 1903 the Yankees have won thirty-nine American League pennants, eleven division championships, and twenty-six World Series titles, making the Yankees the most successful major league franchises in history.   Whether the team is playing at Yankee Stadium or at other baseball venues around the country, tickets to Yankee games are a hot commodity and fans are willing to pay top dollar to watch their favorite team face off with other major league baseball teams.  Ticket sales for face-offs with the Yankees’ bitter rival, the Boston Red Sox, are especially high as fans cheer for their favored team and fan the flames of a rivalry that has thrived for decades.</p><br/>
<p>Perhaps the most legendary Yankee player is Babe Ruth, who was acquired by the team in 1913 and went on to set more league records than any player in history.   Fans still talk about Babe Ruth’s 714 homers and the exploits that made him one of the more controversial figures of the 1910s and 1920s.   </p>",Images/new_york_yankees_tickets.jpg
Oakland Athletics,625,"Oakland Athletics’ games at Network Associates Coliseum are a huge draw for the team’s fans, who are hoping to cheer their team on to another World Series title, despite the team’s disappointing performance in recent years.  As the Oakland Athletics once again rebuild their lineup in the 2008 season, the team looks to their newest players to make up for the loss of superstars Frank Thomas and Barry Zito.  Joining the ranks are future Hall of Famer Mike Piazza, Gold Glove third baseman Eric Chavez,  and 2004 American League Rookie of the Year Bobby Crosby.  Fans are hoping these new stars will make up for the devastating losses the team suffered last season and are sure to turn up in droves at Oakland Athletics home and away games to cheer their team on to victory. ","<p>The Oakland Athletics are perhaps one of major league baseball’s most traveled teams, playing for cities such as Kansas City and Philadelphia before settling in Oakland.  The team has had its share of ups and downs, bringing home four dynasties as well as finishing last in thirty of its one hundred seasons.   Players such as Stuffy McInnis, Eddie Collins, Jack Barry, and Frank Baker made the team one of the best in the country during the Athletics’ first decade, leading the team to World Series wins in 1910, 1911, and 1913, before being handed a devastating Series upset by the Atlanta Braves in the 1914 World Series.  In the 1920s, the team’s strong lineup helped them face off against the legendary Babe Ruth and the New York Yankees, and won three straight pennants  from 1929 to 1931.  In the 1970s, the Oakland Athletics became only the second team, after the New York Yankees, to win three straight World Series titles.  But, after those wins, the team’s performance took a nose dive until Tony LaRussa was named manager in 1987 and rebuilt the team to its former glory.   </p>",Images/oakland_athletics_tickets.jpg
Seattle Mariners,771,"As the 2008 season unfolds, fans are pinning their hopes on manager Mike Hargrove to build the team back up after their disappointing last place finish in the 2006 Mariners season.   Hargrove has acquired key players, right fielders Jose Guillen and Jose Vidro, and is relying on the team’s stars, Ichiro Suzuki, Adrian Beltre, and Richie Sexson to come out strong and maybe even take the Mariners all the way to the pennant race!  No matter what fans expectations are, or how the team performers, Seattle Mariners games are still a great way to enjoy America’s favorite pastime. ","<p>The Seattle Mariners arrived in Seattle on April 6, 1977, at the inaugural game of the Kingdome, which soon became Seattle’s biggest tourist attraction and helped pave the way for professional sports’ arrival in the city.  Although the Seattle Mariners now play their games at Safeco Field, the team is still one of the city’s biggest sporting franchises. 
</p><br/>
<p>Though the Seattle Mariners have had baseball greats such as Edgar Martinez, Alvin Davis, Mark Langston, and Randy Johnson, the team has never managed to bring home a championship.  But, fans still turn out for Seattle Mariners games at Safeco Field, as well as other baseball venues across the country.   Even if they aren’t rooting for the home team, baseball fans still enjoy taking in a game at the state of the art Safeco Field, which opened in 1999.  In the team’s first 3 years playing at Safeco, they managed to have the best seasons in Mariner history, giving fans hope that they may see a World Series Title in the near future.</p>",Images/seattle_mariners_tickets.jpg
Tampa Bay Rays,840,"As the 2008 Tampa Bay Devil Rays’ season begins, manager Joe Madden is pinning his hopes on a string of young players, as well as established Devil Rays, including Carl Crawford, Rocco Baldelli, Delmon Young, and Elijah Dukes.  If the team can keep their lineup strong through the season, the Devil Rays may be able to move up in the American League rankings.   Hopeful fans will show up at Devil Rays games at Tropicana Field as well as other baseball venues around the country to cheer the young team on and hope for more great baseball moments. ","<p>The Tampa Bay Devil Rays, one of the newest teams in the American League, joined the league in 1998 when the Milwaukee Brewers moved to the National League.  Though the team is still in its major league infancy, Tampa Bay Devil Rays games are still a big draw for fans hoping the team will bring a World Series title to the city.    The Tampa Bay Devil Rays boast a less than stellar record, coming in dead last in the American League for its first four seasons.
</p><br/>
<p>But, despite the franchise’s disappointing record, fans taking in Tampa Bay Devil Rays games at Tropicana Field have still witnessed great moments in baseball history.  In 1998, the Devil Rays became the first expansion team to ever be four games over .500 in their first season.  Then, on August 7, 1999, history was made once again when Wade Boggs made his 3,000th hit at Tropicana Field.  And, in 2001, pitcher Travis Phelps became the lowest-selected player to ever reach the big leagues when he was chosen to play for the Tampa Bay Devil Rays.  </p>",Images/tampa_bay_devil_rays_tickets.jpg
Chicago Cubs,162,"The Chicago Cubs may not be one of the most powerful or consistent teams in the NL division, but their fan base is one of the strongest and people are still lining up to get tickets to Chicago Cubs games at Wrigley Field and at other ballparks around the country, and their 2008 season promises to be better than the dismal 2007 season, when the Cubs finished last in their division.  A shakeup in the Cub’s management and some new blood in the bullpen are sure to help this season be one of the most memorable in Chicago Cubs history! ","<p>The Chicago Cubs are one of the oldest and most popular franchises in major league baseball.  Since their beginnings in 1902, the Cubs incredible fan base has made tickets to Chicago Cubs games, whether at their home stadium of Wrigley Field or at other baseball venues around the country, a hot commodity.   Despite the fact that the Chicago Cubs haven’t won a World Series since 1908, they have one of the strongest fan followings in MLB.  Cubs ticket sales have remained strong despite the team’s lack of championships and lack of wins in recent years.
</p><br/>
<p>Wrigley Field, the second oldest park in the Majors, has been home to the Chicago Cubs for more than one hundred years and its iconic ivy foliage is an image that remains synonymous with Major League Baseball and the Cubs team.  Fans pay top dollar for Chicago Cubs tickets not only to see the well-loved team play, but also to take in the rich history of the ballpark.   Whether pitcher Kerry Woods is playing or on the disabled list, whether Cy Young Award-hopeful Carlos Zambrano throws a no-hitter, or whether Cubs manager Lou Piniella shakes up the starting line-up, fans are happy to enjoy their cold beers, hot dogs, and the legendary views from the bleacher seats.   Bleacher tickets at Wrigley Field have long been a tradition for die-hard Chicago Cubs fans since the bleachers were first built in 1937 and can still fetch a premium price. </p><br/>
<p>Chicago Cubs night games have also been a tradition in the city since the first night game on August 8, 1988, when the Chicago Cubs faced off against the Philadelphia Phillies for only three and a half innings before the game was rained out.   And even now, nearly twenty years after that first night game, fans still gather to watch Wrigley Field come alive in the twilight and hope their favorite team can squeak out another win as they watch the stars on the field shine as bright as the stars over the Chicago skyline.</p>",Images/chicago_cubs_tickets.jpg
Boston Red Sox,107,"A stellar new line up promises to make the 2008 Boston Red Sox season a wild ride for the team and their fans as they try to take down the New York Yankees and win another World Series championship. With their promising pitching staff and their newest acquisitions, the Boston RedSoxs have the potential to go all the way in post season and bring another World Series title home to Boston for the second time in four years. And any Boston Red Sox game and event is sure to leave RedSoxs fans with memories that will last them through the team’s ups and downs in future seasons.","<p>Boston Red Sox games have always been a lively experience for fans, whether they are in the stadium seats, box seats, or bleachers at Fenway Park or taking in a night game or away game at any of the country’s other baseball venues.</p>
<br/>
<p>The Boston Red Sox have been one of the most popular teams in Major League baseball since their first game in 1901. The team has had its ups and downs throughout the years, but fans have always remained loyal and the Red Sox have featured some of the most notable names in baseball history, including Cy Young, who played for the Red Sox from 1901 to 1908, and the infamous Babe Ruth, who helped the Red Sox become World Series champions.</p>
<br/>
<p>Games are a tradition for their loyal fans, who flock to see the team and its star players, including Curt Shilling, Tim Wakefield, J.D. Drew, Manny Ramirez, and Dustin Pedroia, at their home field of Fenway Park or at other baseball fields across the country. Fenway Park has been a gold-standard in Major League baseball parks and a key part of RedSoxs history since they played their first game there in 1912. Fenway Park has hosted legendary baseball players such as Babe Ruth, Cy Young, Duffy Lewis, Ted Williams, and Jim Rice and has been the site of key moments in baseball history. Games at Fenway Park are a big seller for the team’s fans and those who want to stand within the walls of one of Major League baseball’s most famous, and long-standing, parks.</p>",Images/boston_red_sox_tickets.jpg
Chicago White Sox,164,"The 2008 Chicago White Sox season promises to be a winner as the team strives to repeat their 2005 World Series win.  The team is relying on manager Ozzie Guillen’s unique coaching methods and their new starting line-up, which features players such as Jose Contreras, Mark Buehrle, John Danks, and Bobby Jenks to bring another championship win back to Chicago.   ","<p>Chicago White Sox games at Cellular Field provide South Side fans with a chance to watch their team try to rise to the top of their American League division.  Despite a disappointing end to their 2006 season, when Sox fans were hoping the team could repeat their spectacular 2005 World Series win, fans still flock to White Sox games at their home field and at other baseball venues around the country. 
</p><br/>
<p>Their fierce rivalry with the Chicago Cubs has caused fans to take sides and root for their favorite team since the White Sox beat the favored Chicago Cubs in the 1906 World Series.  Since then, the cross-town rivalry has been going strong and shows no signs of abating, with games where the two teams face off selling more tickets than perhaps any other White Sox or Cubs game in the season.  Cheap tickets for the White Sox games sell out fast for these face-offs, as do the more expensive box seats at the White Sox’s Cellular Field.
</p><br/>
<p>The Chicago White Sox are one of the oldest franchises in the American League and have perhaps the most tainted history.  The team’s involvement in the 1919-1920 Black Sox scandal, in which Sox players Shoeless Joe Jackson, Buck Weaver, Happy Felsch, Eddie Cicotte, and four others were banned from baseball for their involvement in throwing the 1919 World Series.  Since then, the White Sox have struggled to rebuild their reputation while competing with the popular Chicago Cubs for fans.  But, diehard White Sox fans remain loyal to the team despite the team’s ups and downs and that long-ago scandal that seems to haunt the team to this day.  White Sox games and fan events are hot-sellers in Chicago and at ballparks across the country when they face off against other top-ranked teams. </p>",
Baltimore Orioles,59,"Despite the fact that the Orioles haven’t won a World Series title in more than twenty years, the team still has a strong following across the country, with fans turning up in droves at Major League Baseball venues to see what the Orioles can bring to the table.   Diehard fans are hoping that in the Oriole’s 2007 season the team can rise to the top of the AL East division, which has been dominated for years by the bitter rivalry between the New York Yankees and the Boston Red Sox.  Manager Sam Perlozzo and pitching coach Leo Mazzone are demanding the best from their players in the hopes of bringing another American League Division championship to Baltimore.  The team is full of potential and hopeful fans are snatching up tickets to Baltimore Orioles games in the hopes of witnessing history in the making as the team builds its stamina and creates a consistent record that could bring the Orioles back into World Series favor for the first time since 1983.","<p>The Baltimore Orioles, considered the most successful team in Major League Baseball from the 1960s through the 1980s, continue to impress their fans and rivals alike.  Tickets for Baltimore Orioles games at Oriole Park at Camden Yards are still hot sellers for the regular baseball season, with fans turning out in droves to see the team’s most popular players, including Jamie Walker, Chad Bradford, Scott Williamson, and the Boston Orioles’ superstar, Miguel Tejada.   For years Cal Ripken was the Orioles heaviest hitter, and in the years since Ripken’s retirement in 2001, the team has been trying to rebuild the bullpen, bringing in strong young stars for each position, with many earning top honors in the League.     </p>",baltimore_orioles_tickets.jpg
