Name,EventID,Rank,Category,MLB,NFL,NHL
Phoenix Mercury,678,2000,Western Conference
Trace Adkins,3883,2000,Country and Folk
Summer Games/ Swimming,4397,2000,Summer Games
Washington Capitals,923,2000,Southeast
Minnesota Wild,1137,2000,Northwest
Pittsburgh Penguins,684,2000,Atlantic
Summer Games/ Softball,4420,2000,Summer Games
Tampa Bay Lightning,841,2000,Southeast
George Carlin,313,2000,Comedy Shows
Manchester Monarchs,4029,2000,Minor League Hockey
James Blunt,7860,2000,Other Concerts
Jackie Mason,1063,2000,Other Theater
NCAA Mens Basketball Tournament,2652,2000,NCAA Tournament
Phoenix Roadrunners,6726,2000,Other Sports
Ottawa Senators,639,11,Northeast
Wilco,2232,2000,Country and Folk
Detroit Red Wings,240,12,Central
Summer Games/ Diving,1014,2000,Summer Games
Charlotte Bobcats,4547,2000,Southeastern
Los Angeles Sparks,484,2000,Western Conference
Ron White,5062,36,Comedy Shows
Edmonton Oilers,263,2000,Northwest
New York Rangers,606,11,Atlantic
Carolina Hurricanes,143,2000,Southeast
Calgary Flames,136,2000,Northwest
Star of Texas Fair and Rodeo,2516,2000,Other Concerts
Atlanta Thrashers,53,2000,Southeast
St. Louis Blues,806,2000,Central
US Team Trials Swimming,5493,2000,Other Sports
Casting Crowns,8027,2000,Adult Contemporary
French Open,2688,2000,Tennis
Summer Games/ Athletics [Track and Field],4401,2000,Summer Games
Columbus Blue Jackets,979,2000,Central
Anaheim Ducks,30,2000,Pacific
Chicago Blackhawks,160,11,Central
Toby Keith,1509,2000,Country and Folk
Bakersfield Jam,11718,2000,CBA Basketball
San Antonio Rampage,4747,2000,Minor League Hockey
Paul Potts,14613,2000,Other Concerts
Summer Games/ Gymnastics Artistic,4413,2000,Summer Games
Puddle of Mudd,2556,2000,R&B
Tyler Perry's The Marriage Counselor,14606,2000,Other Theater
Los Angeles Kings,482,2000,Pacific
Summer Games/ Equestrian,4410,2000,Summer Games
Ray Romano,2196,2000,Comedy Shows
Summer Games/ Archery,4400,2000,Summer Games
Summer Games/ Judo,4416,2000,Summer Games
US Figure Skating Championships,2356,2000,Other Sports
Summer Games/ Sailing,5664,2000,Other Sports
Nada Surf,8017,2000,Other Concerts
Wimbledon,2689,2000,Tennis
Rocky Mountain Rage,10551,2000,Other Sports
AMA Supercross,5656,11,More Sports
Mannheim Steamroller,1229,2000,Other Concerts
k.d. lang,1002,2000,Adult Contemporary
Rain - The Beatles Experience,6551,2000,Other Concerts
Countrywide Classic,2579,2000,Tennis
Editors,9685,2000,Other Concerts
Bill Cosby,85,40,Comedy Shows
New York Dolls,5757,2000,Hard Rock
Los Angeles Opera,5023,2000,Other Theater
World Golf Championships,4462,2000,Other Sports
Sia,8696,2000,Other Concerts
Fort Worth Stock Show and Rodeo,8052,2000,Other Sports
Cabaret,135,2000,Other Theater
George Strait,316,5,Other Concerts
Symphony X,12969,2000,Other Concerts
Toby Mac,6665,2000,Other Concerts
Dirty Rotten Scoundrels,5659,2000,Musicals
Ani DiFranco,34,2000,Country and Folk
Jerry Seinfeld,394,35,Comedy Shows
Austin Toros,7969,2000,Other Basketball
Jim Norton,2587,2000,Other Theater
Frankie Valli,2251,2000,Pop
The Starting Line,4591,2000,Other Concerts
Wyclef Jean,2565,2000,Other Concerts
Australian Open,2415,2000,Tennis
Willie Nelson,937,2000,Country and Folk
Come Back Little Sheba,14620,2000,Other Theater
Summer Games/ Tennis,4423,2000,Summer Games
Dropkick Murphys,3982,2000,Festivals and Special Shows
Lewis Black,2615,37,Comedy Shows
George Lopez,2209,34,Comedy Shows
RBD,8599,2000,Other Concerts
Dierks Bentley,6502,2000,Punk Rock
Cobra Starship,11139,2000,Other Concerts
Big Head Todd & the Monsters,83,2000,Blues and Jazz
New York Philharmonic,5570,2000,Classical and Orchestra
Whistle Down the Wind,12900,2000,Musicals
Gipsy Kings,323,2000,World Concerts
The Bravery,7083,2000,Alternative Rock
Pink Martini,5029,2000,Blues and Jazz
Phil Vassar,2445,2000,Country and Folk
Dolly Parton,2771,2000,Other Concerts
G Love & Special Sauce,307,2000,Alternative Rock
Brooks and Dunn,120,27,Country and Folk
National Finals Rodeo,576,2000,Rodeo
Exodus,8758,2000,Other Concerts
Calgary Stampede Rodeo,7719,2000,Rodeo
Velvet Revolver,5411,2000,Hard Rock
Ministry,4051,2000,Other Concerts
Black Crowes,88,2000,Alternative Rock
Summer Games/ Cycling,4409,2000,Summer Games
Styx,826,2000,Classic Rock
Blue Rodeo,1999,2000,Country and Folk
Minnesota Gophers Womens Hockey,14360,2000,College Hockey
Summer Games/ Wrestling Freestyle,4427,2000,Summer Games
Explosions In the Sky,11092,2000,Other Concerts
Summer Games/ Canoe Kayak,5486,2000,Summer Games
National Symphony Orchestra,1978,2000,Classical and Orchestra
Cinderella-Theater,175,2000,Musicals
Steve Harvey,1026,2000,Comedy Shows
Reba McEntire,711,2000,Country and Folk
Lisa Lampanelli,8170,2000,Comedy Shows
Northwestern Wildcats Mens Basketball,3277,2000,BIG TEN
A Prairie Home Companion With Garrison Keillor,2517,2000,Other Theater
Blind Melon,14241,2000,Other Concerts
Michigan Wolverines Hockey,3251,2000,College Hockey
Summer Games/ Shooting,4419,2000,Summer Games
Bowfire,7823,2000,Other Concerts
Mika,12904,2000,Other Concerts
La Traviata,453,2000,Opera
They Might Be Giants,3023,2000,Other Concerts
Terry Fator,14291,2000,Other Theater
Anne Murray,36,2000,Other Concerts
Latin Kings of Comedy,8889,2000,Comedy Shows
Chris Botti,2778,2000,Blues and Jazz
Il Barbiere di Siviglia,6820,2000,Other Theater
La Boheme,1433,2000,Opera
Minnesota Gophers Mens Hockey,3255,2000,College Hockey
Asia,1880,13,Classic Rock
Legg Mason Tennis Classic,3072,2000,Tennis
Killswitch Engage,6512,2000,Other Concerts
Tim McGraw,864,2000,Country and Folk
Ohio State Buckeyes Mens Basketball,3285,2000,BIG TEN
La Fille du Regiment,14168,2000,Other Theater
Memphis Tigers Mens Basketball,3241,2000,CONFERENCE USA
Los Angeles Avengers,1987,2000,American Western
New Orleans VooDoo,5824,2000,National Southern
Kevin James,438,2000,Other Concerts
Les Claypool,2877,2000,Alternative Rock
Ring of Fire,8000,2000,Other Theater
moe.,1573,2000,Blues and Jazz
Philadelphia Flower Show,8748,2000,Other Theater
Arizona Rattlers,1991,2000,American Western
Georgia Force,2719,2000,National Southern
Chelsea FC,2328,2000,International Soccer
The Hives,2833,2000,Other Concerts
Clutch,5087,2000,Hard Rock
Summer Games/ Rowing,4418,2000,Summer Games
The Black Keys,6952,2000,Blues and Jazz
Michigan State Spartans Hockey,3247,2000,College Hockey
Temple Owls Mens Basketball,3336,2000,More NCAA Basketball
Otello,14335,2000,Other Theater
Texas Longhorns Football,852,2000,Big 12
311,3,2000,Alternative Rock
Chris Brown,8577,11,Country and Folk
Summer Games/ Taekwondo,4422,2000,Summer Games
Disney on Ice: Princess Classics,7519,2000,Other Theater
Colorado Crush,3928,2000,American Central
South Beach Wine & Food Festival,8692,2000,Other Concerts
George Jones,315,2000,Country and Folk
Indiana Hoosiers Mens Basketball,3204,2000,BIG TEN
Chicago Rush,1787,2000,American Central
Dallas Desperados,2766,2000,National Eastern
Ace Frehley Band,3202,2000,Other Concerts
John Edward,1956,2000,Speakers and Seminars
Frank Caliendo,5701,2000,Comedy Shows
Curvy Widow,14739,2000,Other Theater
Illinois Fighting Illini Mens Basketball,3196,2000,BIG TEN
Alabama Crimson Tide Football,988,2000,SEC
Columbus Destroyers,5129,2000,National Eastern
Maine Black Bears Hockey,3630,2000,College Hockey
British Open,117,14,Golf
Cleveland Gladiators,595,2000,National Eastern
The Pogues,7982,2000,Other Concerts
Utah Blaze,8265,2000,American Western
Indigo Girls,371,2000,Country and Folk
Manchester Wolves,5307,2000,Northeast
USC Trojans Mens Basketball,3378,2000,PAC-10
Defending the Caveman,231,2000,Comedy Shows
Marquette Golden Eagles Mens Basketball,511,2000,BIG EAST
UConn Huskies Mens Basketball,3402,2000,BIG EAST
1964 the Tribute,3589,2000,Classic Rock
Accenture Match Play Championship,2521,2000,Golf
Miley Cyrus As Hannah Montana,10475,2,Pop
Colbie Caillat,14292,2000,Other Concerts
LSU Tigers Football,1003,2000,SEC
ACC Mens Basketball Tournament,8,2000,Other Sports
Tokyo Police Club,11560,2000,Other Concerts
John Deere Classic,2970,2000,Golf
Bad Religion,1322,2000,Other Concerts
Lenny Kravitz,460,2000,Other Concerts
Joel Osteen,5744,6,Speakers and Seminars
Hellyeah,13072,2000,Rock
Kentucky Wildcats Mens Basketball,3224,2000,SEC
Etta James,1829,2000,Blues and Jazz
Manchester United FC,2319,2000,Other Sports
Minnesota Gophers Mens Basketball,3256,2000,BIG TEN
Masters Hotels,1568,2000,Other Sports
Dave Attell,5250,2000,Other Theater
Purdue Boilermakers Football,700,2000,Big Ten
The Liars,8666,2000,Other Concerts
Georgetown Hoyas Mens Basketball,319,2000,BIG EAST
US Open Golf,900,2000,Golf
John Mellencamp,415,2000,Other Concerts
St. Johns Red Storm Mens Basketball,3322,2000,BIG EAST
Molotov,7477,2000,Other Concerts
Houston Cougars Mens Basketball,3366,2000,CONFERENCE USA
Hansel and Gretel,2215,2000,Other Theater
North Carolina State Wolfpack Mens Basketball,3271,2000,ACC
Penn State Nittany Lions Football,1013,2000,Big Ten
Kansas State Wildcats Mens Basketball,3217,2000,BIG 12
PGA Championship,1856,2000,Golf
Aretha Franklin,39,2000,R&B
U.S. Bank Championship in Milwaukee,2968,2000,Golf
Michigan State Spartans Mens Basketball,3248,2000,BIG TEN
AT&T Pebble Beach National Pro-Am,2432,2000,Golf
UConn Huskies Womens Basketball,3403,2000,BIG EAST
Philadelphia Soul,5037,2000,National Eastern
Miami Hurricanes Mens Basketball,3244,2000,ACC
Ohio State Buckeyes Football,630,2000,Big Ten
Pat Benatar,644,2000,Alternative Rock
Kansas Jayhawks Mens Basketball,3214,2000,BIG 12
Oregon Ducks Mens Basketball,3290,2000,PAC-10
All That Remains,11783,2000,Other Concerts
Professional Bull Riders World Finals,7194,2000,Rodeo
Iowa Hawkeyes Mens Basketball,3206,2000,BIG TEN
Lang Lang,3530,2000,Classical and Orchestra
Pennsylvania Quakers Mens Basketball,3798,2000,More NCAA Basketball
Tuna Does Vegas,14206,2000,Other Theater
Buffalo Bandits,6498,2000,Other Sports
Texas Tech Red Raiders Mens Basketball,3348,2000,BIG 12
Donny & Marie Osmond,14780,2000,Other Concerts
Rutgers Scarlet Knights Mens Basketball,3667,2000,BIG EAST
Buick Invitational,130,2000,Golf
Minnesota Gophers Football,551,2000,Big Ten
Colorado Buffaloes Mens Basketball,3141,2000,BIG 12
BYU Cougars Mens Basketball,3121,2000,MOUTAIN WEST
Arizona Wildcats Mens Basketball,3098,2000,PAC-10
Hot Chip,10267,2000,Other Concerts
Texas Longhorns Mens Basketball,3345,2000,BIG 12
Tegan and Sara,6418,2000,Alternative Rock
Shell Houston Open,2697,2000,Golf
Temptations,847,2000,R&B
Wachovia Championship,4170,2000,Other Sports
South Carolina Gamecocks Mens Basketball,3313,2000,SEC
Ryan Adams,2544,2000,Country and Folk
Tesla,1527,2000,Hard Rock
Michigan Wolverines Football,541,2000,Big Ten
Boston University Terriers Hockey,3921,2000,College Hockey
Toronto Rock,5137,2000,Other Sports
Rufus Wainwright,2490,2000,Alternative Rock
Texas A&M Aggies Mens Basketball,3342,2000,BIG 12
Washington State Cougars Mens Basketball,3696,2000,PAC-10
Karrin Allyson,14186,2000,Other Concerts
Pittsburgh Panthers Mens Basketball,3297,2000,BIG EAST
Ole Miss Rebels Mens Basketball,3369,2000,SEC
Big East Mens Basketball Tournament,1616,2000,Other Sports
Duke Blue Devils Mens Basketball,255,2000,ACC
FBR Open,1542,2000,Golf
Michigan State Spartans Football,540,2000,Big Ten
Masters,518,2000,Golf
Steve Earle,1237,2000,Other Concerts
Oklahoma State Cowboys Mens Basketball,3665,2000,BIG 12
The Players Championship,2680,2000,Golf
Oklahoma Sooners Womens Basketball,3289,2000,BIG 12
Washington Huskies Football,1133,2000,Pac 10
Masters Packages,6436,2000,Golf
New Jersey Ironmen,14551,2000,More Sports
Iowa Hawkeyes Football,1140,2000,Big Ten
Ween,2634,2000,Alternative Rock
Virginia Tech Hokies Mens Basketball,3387,2000,ACC
Blast!,1692,2000,Other Theater
Ryder Cup Hotels,5696,2000,Other Sports
Matt Costa,8766,2000,Other Concerts
LSU Tigers Mens Basketball,3227,2000,SEC
Wayne Newton,927,2000,Other Concerts
PAC 10 Mens Basketball Tournament,2537,2000,Other Sports
Mindless Self Indulgence,4898,2000,Other Concerts
Slightly Stoopid,8019,2000,Alternative Rock
Boston College Eagles Mens Basketball,3118,2000,ACC
Virginia Cavaliers Mens Basketball,3372,2000,ACC
Nebraska Cornhuskers Mens Basketball,3268,2000,BIG 12
UCLA Bruins Mens Basketball,893,2000,PAC-10
Louisville Cardinals Mens Basketball,3233,2000,BIG EAST
The Producers,1400,2000,Musicals
North Carolina Tar Heels Mens Basketball,3274,2000,ACC
Trisha Yearwood,1029,2000,Country and Folk
Missouri Tigers Mens Basketball,3262,2000,BIG 12
George Thorogood,317,2000,Classic Rock
Georgia Bulldogs Mens Basketball,3181,2000,SEC
The Odd Couple,2043,2000,Other Theater
Michigan Wolverines Mens Basketball,3252,2000,BIG TEN
Justice,13898,2000,Other Concerts
Gordon Lightfoot,333,2000,Classic Rock
Pat Metheny,645,2000,Other Concerts
DePaul Blue Demons Mens Basketball,236,2000,BIG EAST
Notre Dame Fighting Irish Football,618,2000,Independents
Florida Gators Mens Basketball,3165,2000,SEC
Creighton Blue Jays Mens Basketball,3684,2000,More NCAA Basketball
Aida,11,2000,Other Theater
Arsenal FC,2321,2000,Other Sports
The Go-Gos,994,2000,Alternative Rock
The Lettermen,8389,2000,Other Concerts
Cincinnati Bearcats Mens Basketball,3131,2000,BIG EAST
Seton Hall Pirates Mens Basketball,3310,2000,BIG EAST
Vanderbilt Commodores Mens Basketball,3381,2000,SEC
Oregon Ducks Football,635,2000,Pac 10
Lifehouse,2052,2000,Other Concerts
Big Ten Mens Basketball Tournament,1474,2000,Other Sports
Texas A&M Aggies Football,851,2000,Big 12
Social Distortion,1514,2000,Classical and Orchestra
Tristan Und Isolde,8308,2000,Other Theater
New York Dragons,1785,2000,National Eastern
Minnesota Gophers Womens Basketball,3257,2000,BIG TEN
Maryland Terrapins Mens Basketball,3238,2000,ACC
Xavier Musketeers Mens Basketball,948,2000,More NCAA Basketball
Iowa State Cyclones Mens Basketball,3208,2000,BIG 12
Arkansas Razorbacks Mens Basketball,3101,2000,SEC
Itzhak Perlman,1326,2000,Classical and Orchestra
Wisconsin Badgers Hockey,3395,2000,College Hockey
Tennessee Vols Mens Basketball,3339,2000,SEC
California Golden Bears Football,896,2000,Pac 10
Third Day,1717,2000,Adult Contemporary
Frank Sinatra Jr.,2070,2000,Adult Contemporary
Southern Illinois Salukis Mens Basketball,3316,2000,More NCAA Basketball
Alabama Crimson Tide Mens Basketball,3084,2000,SEC
Calgary Stampede Chuckwagon Races,10036,2000,Other Extreme Sports
Purdue Boilermakers Mens Basketball,3304,2000,BIG TEN
Summer Games/ Wrestling Greco - Roman,4428,2000,Summer Games
Down,14141,2000,Other Concerts
Katt Williams,8904,2000,Other Theater
Royal Hanneford Circus,2792,2000,Other Theater
Tennessee Vols Womens Basketball,3340,2000,SEC
Sheena Easton,4014,2000,Other Concerts
Florida State Seminoles Mens Basketball,3168,2000,ACC
UW- Milwaukee Panthers Basketball,4964,2000,Other Sports
Arizona State Sun Devils Mens Basketball,3095,2000,PAC-10
St. Cloud State Huskies Hockey,3325,2000,College Hockey
Duke Blue Devils Womens Basketball,3151,2000,ACC
West Virginia Mountaineers Mens Basketball,3393,2000,BIG EAST
Engelbert Humperdinck,274,2000,Adult Contemporary
Kathy Griffin,3944,15,Comedy Shows
Love Janis,1669,2000,Other Theater
UFO,5365,2000,Other Concerts
Wake Forest Demon Deacons Mens Basketball,3390,2000,ACC
Ryder Cup Multi-Day Pass,5728,2000,Other Sports
Ryder Cup,746,2000,Golf
Steve Lawrence,3481,2000,Adult Contemporary
Washington Huskies Mens Basketball,3504,2000,PAC-10
Carrie Underwood,7809,2000,Country and Folk
Notre Dame Fighting Irish Mens Basketball,3281,2000,BIG EAST
Villanova Wildcats Mens Basketball,3384,2000,BIG EAST
Missouri Tigers Football,558,2000,Big 12
Mississippi State Bulldogs Football,1111,2000,SEC
Bob Mould,7484,2000,Other Concerts
Mercedes-Benz Fashion Week,14192,2000,Other Theater
Oklahoma Sooners Mens Basketball,3288,2000,BIG 12
Presidents of the United States,7020,2000,Other Concerts
Romeo And Juliet,739,2000,Plays
The Ten Tenors,4814,2000,Classical and Orchestra
Camelot,5447,2000,Musicals
US Senior Open Golf,1973,2000,Golf
Syracuse Orangemen Mens Basketball,3333,2000,BIG EAST
Fresno State Bulldogs Mens Basketball,3171,2000,WAC
Chicago Symphony Orchestra,4493,2000,Other Concerts
Los Lobos,485,2000,World Concerts
Winger,2702,2000,Alternative Rock
Stanford Cardinal Mens Basketball,3331,2000,PAC-10
Lupe Fiasco,9275,2000,Other Concerts
Alan Jackson,15,26,Country and Folk
John Prine,1000,2000,Country and Folk
No No Nanette,14409,2000,Other Theater
Stomp,821,2000,Ballet and Dance Shows
Siouxsie Sioux,14553,2000,Other Concerts
Oregon State Beavers Mens Basketball,3695,2000,PAC-10
The Levon Helm Band,12645,2000,Other Concerts
Bernadette Peters,76,2000,Other Concerts
Dan Zanes,8146,2000,Other Concerts
Gary Puckett,310,2000,Other Concerts
Horrorpops,7635,2000,Other Concerts
70s Soul Jam,1757,2000,Festivals and Special Shows
Nat'l Farm Machinery Tractor Pull,1525,2000,Other Sports
Mask,14660,2000,Other Theater
Buick Open,2993,2000,Golf
Yonder Mountain String Band,6490,2000,Blues and Jazz
Colorado State University Rams Mens Basketball,3143,2000,MOUTAIN WEST
California Golden Bears Mens Basketball,3360,2000,PAC-10
OneRepublic,14395,2000,Other Concerts
Crimes of the Heart,14557,2000,Other Theater
Will Ferrell,14600,2000,Other Theater
Ladysmith Black Mambazo,5793,2000,Other Concerts
Wisconsin Badgers Mens Basketball,3396,2000,BIG TEN
Garth Brooks,309,40,Other Concerts
Rotting Christ,14403,2000,Other Concerts
Georgia Tech Yellow Jackets Mens Basketball,3184,2000,ACC
Rick Springfield,722,2000,Pop
Keith Sweat,1292,2000,Other Concerts
The Backyardigans,14447,2000,Other Theater
Summer Games/ Synchronized Swimming,4398,2000,Summer Games
WCHA Final Five Tournament,1632,2000,Other Sports
